vaga,salario_estimado,descricao,nota,nome_empresa,localizacao,tamanho,ano_fundacao,tipo_propriedade,industria,setor,receita
Data Scientist – Attribute Science Data Engineering,$79K - $151K (Glassdoor est.),"Career Category
Scientific
Job Description
The Attribute Sciences (AS) group within Process Development provides scientific and technical expertise to support the commercialization of Amgen’s pipeline. This group identifies and coordinates the achievement of product attributes toward quality target product profiles, develops and applies fit-for-purpose analytical methodologies.
The Attribute Sciences Data Engineering (ASDE) group within the AS function drives the end-to-end AS data strategy from lead candidate selection to the global commercial support. The group not only provides lab informatics, data engineering and data science support to the portfolio but also assess new technologies to improve the data integration and data usage for decision making.
.",4.0,"Amgen
4.0","Thousand Oaks, CA",10000+ Employees,1980,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Intro:
As a Data Scientist, you will be applying new and innovative methods to address some of our most important intelligence problems.
What You'll Be Doing:
Work with a variety of databases (SQL + NoSQL) and query authoring.
Building infrastructure to support extraction, loading and transformation of data from various sources.
Leverage data pipelines and analytical tools to deliver actionable insights to customers and communicate complex data effectively.
Design and build cloud-based solutions to support federal clients.
Work autonomously and collaboratively as part of a team to both teach and learn every day.
Location and Travel Details:
Security Clearance and Citizenship Requirements:
Profile of Success:

Desirable Skills:
About AIS:







EEO Statement:",4.4,"Applied Information Sciences
4.4","Austin, TX",201 to 500 Employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Overview
:

US Anesthesia Partners is seeking a Data Scientist to join our team in Dallas, TX. The Data Scientist will work with USAP stakeholders, performing data analysis, data mining & modeling. He/she will need to have a solid understanding of mathematics and statistics and be fluent on machine learning predictive analysis & modeling.
Job Highlights
:
ESSENTIAL DUTIES AND RESPONSIBILITIES (include but not limited to):
Work with stakeholders to identify opportunities for leveraging USAP data to drive business solutions
:",4.0,"US Anesthesia Partners, Inc.
4.0","Dallas, TX",1001 to 5000 Employees,2013,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
"Data Scientist, Revenue Performance & Analytics (BEES)",$79K - $151K (Glassdoor est.),"About AB InBev

AB InBev is the leading global brewer and one of the world's top 5 consumer product companies. With over 500 beer brands we're number one or two in many of the world's top beer markets: North America, Latin America, Europe, Asia, and Africa.

About BEES

BEES, a part of the AB InBev family, is a digital organization within ABI building a platform to improve the ways retailers run their businesses and interact with the world's largest brewer & other suppliers. We provide transactional and educational resources to SMB retailers across the world to help reduce the overhead of their day-to-day operations and make their businesses more profitable. Today more than 1 million SMB retailers across 18 countries use the BEES platform to source manage their business.

About the Team

The overall goal of our team is to enable smarter decisions through data enabled analyses of performance. To this end, we are leveraging data received from digitally enabled countries to:

develop smart pricing strategies to unlock profitability without sacrificing sustainability,

enable visibility into market performance – overall and BEES adoption and quality of usage,

analyze aggregate performance of features and levers to understand what is working and to what degree so that we can make informed decisions on the way forward,

and, determine individual client performance levers to enable client specific growth plans.

About the Job

As a data scientist on the team your role will be to build new and/or manage existing data pipes from the several markets around the world to ensure we have quality data feeds.

Then build on top of this a robust information hub that serves as the default information source to all role players in the BEES hub and markets where we operate.

You will also be expected to wrangle data and run aggregate and/or client level analyses to deliver against the team objectives stated above. These analyses will range from simpler statistical methods to more complicated machine learning methods depending on the application.

On any given day, your role spans doing a high-level presentation to a senior executive to get buy-in to flying to our markets around the world to look for the insight behind the data. You will be at the forefront of our journey towards transforming our traditional operations into a digital, data driven business.

About You

A self-starter who can lead multiple strategic projects, manage priorities and deliver results in a fast-paced environment

Lead from the front – not afraid to get hands dirty in troubleshooting a data problem or chasing a modeling issue through resolution

A creative thinker – enjoys challenges and has a passion for solving complex problems and generating multi-functional solutions

Have strong communication skills - able to clearly understand business objectives and translate them to an end to end data science and/or analytics plan

Have experience working with both highly technical and non-technical profiles on a day-to-day basis

Experience working with/within revenue growth management team at a large CPG/Retail company; or relevant experience serving such clients in consulting; or experience working in a central analytics/data science role within a large enterprise and international environment or a product-driven venture-backed tech company a plus

Desired Qualifications

BA/BS degree in a quantitative field (Computer Science, Math, Physics, Statistics, Operations Research, or similar technical field), MS/PhD a plus

2+ years of work experience a plus

Technical Skills

Programming skills in Python, Tensorflow, PyTorch, PySpark or similar language

Experience working with analytics packages (numpy, scipy pandas, sklearn, mllib)

Experience with SQL

Experience with data visualization tools (PowerBI, Retool)

Foundational understanding of, and experience applying classical machine learning techniques (supervised, unsupervised) to noisy data

Knowledge of distributed computational platforms (Databricks, PySpark) a plus

Knowledge of deep learning and reinforcement learning a plus


Working with the Data Engineering team to scope out upstream and downstream data and pipeline requirements to maintain model

Managing and optimizing a full end-to-end model pipeline

Defining and implementing the right experiments to identify whether models are driving business value

You will

Take ownership of understanding the business and operational problems at hand and how to best solve them through a data-driven approach

Create and maintain your own algorithms

Work fluidly across ABI's global and local teams and functions (sales, finance, marketing, product, IT, etc.) to make data-driven initiatives successful in an efficient way

Prioritize and find the most efficient path towards solving complex, ambiguous business problems with data, keeping a mindset of simplicity, robustness and speed above all
Apply Now",3.4,"BEES
3.4","New York, NY",501 to 1000 Employees,1984,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Company Overview
Novel Engineering, Inc. was founded by business professionals who had a common quest to create a company that delivers on its promises while fostering a work environment that is constructive to its employees. Having decades of solid experience in engineering services to the aerospace, transportation, controls, and government/military industries, Novel continues to deliver projects that meet our customers’ needs while leveraging cutting-edge tools and processes.
We’re looking for someone with 5-10 years of experience manipulating data sets and building statistical models. A Data Scientist who will support our product, sales, leadership and marketing teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations.",3.5,"Novel Engineering
3.5","Melbourne, FL",1 to 50 Employees,2009,Company - Private,Computer Hardware & Software,Information Technology,$1 to $5 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Job Description:
Are you looking for a new and exciting career opportunity?
Join our award-winning organization and work with some of the most talented minds within our Enterprise Technology and Innovation teams. As a Salient CRGT employee, you get to be part of a best performing team supporting our nation’s most critical missions.
Why Salient CRGT?
We’re passionate about the inspirational missions of our customers and we entrust our employees and teams to deliver exceptional performance to enable the safety, security, health and well-being of our nation. We provide the tools and resources to help you be successful, and our culture fosters an environment in which idea sharing and collaboration is essential. Are you ready to make a difference?
The ideal candidate will be responsible for improving the NCTC analyst's workflow by developing tools and capabilities that enhance the ability to use and produce identity intelligence data.
This role is responsible for analyzing, interpreting, and extracting data using IT techniques to support decision-making. This role works with customers to understand changing requirements and recommends solutions based on quantitative analysis. Responsibilities include working independently and collaboratively in a team to develop data models and solutions. This role compiles and reviews data, often disparate and inconsistent, to address complex intelligence issues or problems for customers. This role requires constructing and performing complex statistical, mathematical, and data analysis independently, or in partnership with other data scientists or analysts. This role provides recommendations for the development of tools and applications that improve process effectiveness and efficiency.

Required Qualifications:


Desired Qualifications:",3.6,"Salient CRGT, Inc
3.6","Arlington, VA",1001 to 5000 Employees,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Machine Learning Data Scientist,$79K - $151K (Glassdoor est.),"Position Summary:
Our client develops novel technologies to detect and characterize threats for Homeland Security applications, and to provide decision support to operators and analysts. The client is in need of a data scientist and machine learning specialist to aid in the development and characterization of prototype algorithms. This position will involve analyzing machine learning problems to identify promising approaches, implementing algorithms, training them on mission-relevant data, and assessing the performance of these algorithms. Though these methods may be applied to a variety of different data types, there will be an emphasis on processing and interpretation of spatial/temporal data such as imagery, video, audio, radar, point clouds, etc

Responsibilities:
Duties include, but not limited to:
Designs develops and implements methods, processes, and systems to consolidate and analyze diverse data sets including structured and unstructured. Develops software programs, algorithms, dashboards, information tools, and queries to clean, model, integrate and evaluate datasets. Keeps abreast of new analytic methodologies and technologies. Collaborates with functional business units to drive business solutions and direction.




Qualifications:




Company Overview:",4.5,"Odyssey Systems Consulting Group, Ltd.
4.5","Lexington, MA",501 to 1000 Employees,1997,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"About the Company
We’ve been building businesses on Amazon for more than 10 years and we continue to be on the forefront as Amazon platforms evolve. We’re uncomfortable calling ourselves experts - since Amazon is always changing, we’re constantly adapting - but the breadth of our knowledge is vast and our team’s diverse experiences elevate our partners’ businesses. We’re marketers, advocates, data scientists, supply chain managers, Amazonians, advertisers and merchants. But most importantly, we’re brand builders. Let’s build brands together.

Position Overview
As a Data Scientist at Global Overview, you will utilize advanced analytical techniques and statistical analysis to break down complex data sets into actionable insights. You will work directly with a variety of clients and be able to provide valuable insights that they can use to continue building their brands. A successful candidate will have excellent communication skills with an ability to clearly distill and clarify complex information to all levels, both inside and outside of the organization.",4.0,"Global Overview
4.0","Minnetonka, MN",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"We're looking for an exceptional Data Scientist to join a new team focused on the development of our real-time bidder, one of the most exciting and important products within Chartboost. The system powering this product must deal with 100,000's of requests per second and presents unique engineering challenges. In addition, the bidder requires use of machine learning models that are trained in batch and then used to power decision making in real-time.
What you'll do:
Design and test predictive models at large scale that control real money
Find new and creative ways to utilize the massive piles of data we have using both supervised and unsupervised methods
Generate insightful and actionable information driving ranking and revenue performance by using rigorous scientific and statistical methods
Train and tune learning models offline, provide clear guidelines for A/B testing and production launch
Analyze millions of structured and unstructured data points and identify meaningful features/signals to improve model performance
Collaborate closely with Product, Data, and Engineering teams to build new features and infrastructure
Define, advocate, and maintain high standards for data quality
Develop best practices for data processing, experimentation, monitoring, debugging, and analyzing data pipelines",-1.0,Chartboost,"San Francisco, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $151K (Glassdoor est.),"Who We Are

Imprint is building a payments and loyalty platform from the ground up to serve modern brands and their customers. Imprint is backed by Kleiner Perkins, Thrive Capital, Stripe, Affirm, Box Group, and leading angel investors, including the CEOs of Skims, AllBirds, WarbyParker, Plaid, and NuBank. We are focused on building a brilliant team who want to change payments and who embody Imprint's Values.
Your Day-to-Day

The Data Scientist will be part of the Data Science team with the responsibility to build AI/Machine learning models that help to drive meaningful improvement in customer engagement with our process/product capabilities and fraud/risk outcomes. This will create a significant competitive advantage for Imprint in our understanding of behavior of customers of digital merchants and create a deep moat around our business.

Work closely with Director Science and engineering team to conceptualize the AI/machine learning models that can help enhance Imprint product and customer/applicant processes

Lead the thinking in terms of creating experimental design to run test vs control that would help to optimize decisions across the customer life cycle in terms of how customers/applicants interact with Imprint product/processes. Two examples of decision areas would be: call to action we display on the start page of the application and how this changes the likelihood of the applicant starting the application, customer limit increase over time: what additional revenue and spend does this drive vs increase in default, etc.

Develop and deploy underwriting and customer management scorecards to predict likelihood of default based on bureau, bank cash flow, merchant and other information

Develop behavioral models to predict spend, revolver vs transactor behavior, balance etc. that are a key input into customer lifetime valuation models that determine approval/decline and limit assignment.

Develop application stage scorecard to predict likelihood of incoming application to be fraudulent by aggregating data from diverse sources 3rd party sources

Deep dive analysis into customer spend and reward redemption patterns and create customer propensity models that can help to drive increase in customer lifetime value for Imprint and empower consumers to maximize the rewards they earn and use

Track customer's interactions with Imprint app to understand features that drive value or create frustration for the customer and work with product/engineering to on how to optimize those features and their display to customers

Work under supervision of the Director of Data Science to drive data science research into new data sources and modeling techniques to improve discrimination of our decision models leading to improvement in business outcomes and create a sustainable business advantage for Imprint

Partner with program management and engineering teams to conceptualize and deploy infrastructure capabilities to house data that is required to build and execute AI/machine learning models

Create robust tracking processes to closely monitor performance of the AI/machine learning models to ensure that score cards are working as designed

We Are Looking For Folks With

Strong foundation in data science, machine learning, and analytics, including statistical data analysis and A/B testing

3-5 years of proven experience building data science driven solutions to solve business problems & drive customer experience in a consumer focused technology company

Ability to dive into the details of customer journey and product features in order to help define success criteria and the ways we can measure that via metrics and other approaches. This will involve close collaboration with product & engineering teams

Strong programming skills, including data-querying skills (SQL and/or Spark, etc.) and experience with a scripting language for data processing and development (e.g., Python, R, or Scala)

Solid exposure to machine learning and open source tools in terms of both model development & implementation

Strong communication skills and the ability to naturally explain difficult technical topics to everyone from data scientists to engineers to business partners and leaders

Interest in working at a fast growing startup and be part of the initial team

Cute or embarrassing picture of them as a child to put on our intranet

Perks & Benefits

Competitive compensation and equity packages
Leading configured work computers of your choice
Up to $2,000 budget for your home-office improvements
Unlimited vacation policy
Fully covered, high-quality healthcare including fully covered dependent coverage
Additional health coverage includes access to One Medical and option to enroll in an FSA
16 weeks of paid parental leave for the primary caregiver and 8 weeks for all new parents
An understanding that successful remote work requires flexibility and an appreciation for asynchronous work
Access to industry leading technology across all of our business units — stemming from our philosophy that we should invest in resources for our team that foster innovation, optimization, and productivity

Imprint is committed to a diverse and inclusive workplace. Imprint is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. Imprint welcomes talented individuals from all backgrounds who want to build the future of payments and rewards. If you are passionate about FinTech and eager to grow, let's move the world forward, together.",-1.0,Imprint,"Phoenix, AZ",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"Data Scientist (with ML)
Remote

Opportunity at a GLOBAL fortune 100 company headquartered in the Northeast region of the USA (but you can stay remote and just visit quarterly/as needed).

This is an opportunity for a Data Scientist with an advanced degree to join a new & rapidly growing internal Center of Excellence serving the enterprise.
Use predictive modeling and machine learning to recommend impactful changes to the supply chain and production schedules.
Targeting 100-115k base, depending on level of degree, and applied experience(s).
Ideal for new PhD graduates to those with less than 3 years or business exp.
BrainWorks, founded in 1991, is a leading executive search firm that prides itself on delivering superior talent to drive business performance. Our consultants are experts in their practice areas, which include CRM, Direct / Database Marketing and Customer Sciences / Advanced Analytics.

The Relationship Marketing and Decision Sciences Practice Group places top performing candidates, from mid-level managers to C-level executives, with companies spanning from entrepreneurial start-ups to Fortune 500’s. Some of the business areas in which these candidates specialize include the following: Statistical Modeling, Advanced Analytics, Web Analytics, Digital Analytics, Customer Analytics, and Campaign Management.

When you partner with BrainWorks you will receive industry expertise coupled with quality, speed and results guaranteeing a great hire. We look forward to having the opportunity to work with you https://brainworksinc.com.

IND123",4.2,"BrainWorks
4.2",Remote,1 to 50 Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$5 to $10 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Job Description: As a data scientist working for a Tier 1 carrier you will be responsible for development of customer facing use cases, such as curation analytics, anomaly detection, etc. using rule based / pattern based programming and standard AI/ML models. Development of some use cases will require device farm automation, data scraping & extraction, and/or other methodologies as prescribed by use cases. You will be a technical data steward for the output data structures.
Daily Responsibilities:
· As part of the Agile team translate business requirements into software architecture and design plans.
· Lead data analytics and data science work for individual use cases.
· Participate in Agile ceremonies, schedule and hold periodic code reviews, track own scope of work and progress using relevant tools.",-1.0,AR systems inc,"Plano, TX",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $151K (Glassdoor est.),"Only H1B, GC, CITIZEN
12+ years of experience as a Data Warehouse Analyst, Data Engineer and/or Data Scientist
Savviness with complex SQL queries and knowledge of database technologies including window and analytical functions
Experience with Python analytic libraries and Business Intelligence tools such as Tableau.
An ability to provide technical guidance, direction and problem solving to data engineering team members.
Confidence to offer consultation to business partners and team members within Sales, Partner, Marketing Operations.
A familiarity working with AGILE/SCRUM process management.",-1.0,Blutium,"San Jose, CA",-1,-1,-1,-1,-1,-1
Data Scientist/Data Analyst,$79K - $151K (Glassdoor est.),"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our client's business and mission. We will rely on you to build data solutions to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. Your goal will be to help our clients analyze information to make better business and mission decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models",-1.0,Insight Xcite LLC,"Fairfax, VA",-1,-1,-1,-1,-1,-1
"Data Scientist, Impact Navigator",$79K - $151K (Glassdoor est.),"Skai’s Data Science team is hiring!

The role of the Data Science team is to empower customers to leverage Skai’s suite of algorithmic products to optimize their marketing programs. This role will support one of Skai’s newest products - Impact Navigator.

The ideal candidate should have strong data analysis and programming skills as well as a good understanding of statistics and hypothesis testing.

The ideal candidate will show an intuitive understanding of digital marketing, a strong grasp of statistics, excellent analytical and problem solving skills and the ability to coherently describe complex mathematical concepts to a lay audience.",3.9,"Kenshoo
3.9","San Francisco, CA",501 to 1000 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"IterationN is looking for Data Scientist/ Bioinformatics developer for one of their Atlanta projects. This will be contracting position at the vendor site. This position will support collaborations with diverse customers requesting bioinformatics and data science expertise related to Next Generation Sequencing (NGS). The ideal candidate will have demonstrated experience in NGS data analysis such as genome assembly, functional annotation, sequence alignment, variant detection, and phylogenetic analyses of viral, bacterial, fungal and protist genomes, transcriptomes and metagenomes, as well as demonstrated experience creating and modifying custom scripts and pipelines using Python (preferred), Perl, R and/or Java.
Primary Activities:
Develop, test, and deploy bioinformatics data pipelines and workflows using open-source (e.g. Tapis, Nextflow, Snakemake) and licensed proprietary platforms such as CLC Genomics Workbench or Geneious.
Develop and execute bioinformatics algorithms and workflows in high-performance computing environments, including cloud and hybrid-cloud execution environments.
Develop tools for visualizing complex biological datasets, including interpretation and communication of results and uncertainty.
Develop and maintain highly curated genomic sequence databases, signature databases for virulence and AMR markers, strain type and pathogen type markers.
Support and maintain relational databases (MySQL/PostgreSQL) as well as NoSQL (MongoDB) databases.",-1.0,IterationN LLC,"Atlanta, GA",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $151K (Glassdoor est.),"Responsibilities
Work with large, complex and ever growing data sets
Research and develop and advance the state of the art of techniques to solve machine learning problems at the Client including supervised and unsupervised learning
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of the Client’s objectives and related functions, advocating for changes where needed for product development
Work in close collaboration with Engineering, product, bio science and bioinformatics teams
Publish and patent
Minimum Qualifications",-1.0,Optimum Technologies,"San Francisco, CA",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $151K (Glassdoor est.),"SPECIFIC DUTIES AND RESPONSIBILITIES:
Aggregate data and generate reports for a variety of internal and external stakeholders.
Analyze numerous metrics, including historical trends, and breakdowns by sub-categories and segments.
Utilize established data-gather and modeling strategies in working with diverse data types, including clinical values, demographic data, medical and financial information.
Generate program participant eligibility using medical claim data provided by data aggregators, clients, and other third-party sources.
Acquire and assemble datasets from a variety of sources, ensuring data integrity and security.
Identify issues, including systematic issues, with production and maintenance of data.",-1.0,SentryHealth,"Louisville, KY",-1,-1,-1,-1,-1,-1
Data Scientist,$79K - $151K (Glassdoor est.),"About the Data Scientist position
We are looking for a skilled Data Scientist who will help us analyze large amounts of raw information to find patterns and use them to optimize our performance. You will build data products to extract valuable business insights, analyze trends and help us make better decisions.
We expect you to be highly analytical with a knack for analysis, math and statistics, and a passion for machine-learning and research. Critical thinking and problem-solving skills are also required.

Data Scientist responsibilities are:",3.7,"Victory
3.7","Austin, TX",501 to 1000 Employees,-1,Company - Private,Home Centers & Hardware Stores,Retail,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"ComResource is looking for a Data Scientist.

This person will be responsible for data mining, building predictive models, and driving the construction of data products. Our Data Science focus surrounds core retail areas including planning, merchandising, inventory management and supply chain business areas. This position will work closely with other Data Science team members to collect, model, analyze and provide insight on core data sets. This position will work closely with our business partners ensuring solutions meet business objectives and provide high contextual value. They will work with data engineers to build mineable datasets, execute data mining activities providing insight from datasets, build accurate predictive models driving decision making, work with business owners to understand context within datasets, deliver insight to leadership, helping drive strategic business decisions, hypothesize, experiment and drive insight by any means necessary, drive innovation by evaluating business processes and identifying data science solutions.

Essentials:
Experience with problem formulation, theoretical knowledge of math and statistics, mentoring lots of people / building a program to manage and educate younger analysts in our process and techniques, communication skills - answering technical questions confidently and succinctly, consulting experience, theoretical knowledge of math and statistics, willingness to learn and be molded in our process, aptitude for communication, aptitude for business and industry verticals, business experience, vertical experience, broad programming background, ability to mentor small groups. Knowledge of predictive modeling techniques such as regression, optimization, clustering, neural networks, etc., experience data munging and wrangling to create workable datasets, knowledge of analytical toolsets such as R, Python, SAS, SPSS, MATLAB, etc., knowledge of SQL for data analysis and troubleshooting, knowledge of delivery processes such as CRISP-DM, Agile and Waterfall, and experience working in a matrixed environment.


Experience with retail analytical problems such as market mix modeling, demand modeling, optimization, merchandise planning, forecasting, inventory optimization, and supply chain optimization, knowledge of NLP, text analytics, social analytics, knowledge of BI related principles such as ETL, data modeling, and data warehousing, experience with programming languages such as java, python, C++, etc. (java preferred), experience with ETL tools such as DataStage, informatica, etc., experience with OLTP and Analytics databases such as Oracle, Netezza, SQL Server, etc., experience using Hadoop and related toolsets to analyze Big Data.",4.2,"ComResource
4.2","Columbus, OH",201 to 500 Employees,1991,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Perform data quality analysis.
Develop data modeling and data driven solutions based on business requirements.
Develop analytical procedures, systems and workflows.
Develop data aggregation from different sources, cleansing, and transformation.
Define data quality gaps and make recommendations.
Use complex Machine Learning, data Mining, mathematical and statistical techniques",4.6,"Colsh Consultants
4.6","Richfield, MN",Unknown,2005,Unknown,IT Services,Information Technology,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"High performing team members. Challenging projects. A stable and profitable company. And a great place to work! This is what you can expect if you join the Catapult Systems team. Founded in 1993 and headquartered in Austin, Texas, Catapult is an award-winning Microsoft National Solution Provider, recently being named a 2020 US Top Microsoft 365 Security Partner, Microsoft Partner Award Winner Azure Dev-Ops as well as Partner of the Year Finalist for Data Analytics.
It is a very exciting time of growth for Catapult Systems, and we are currently hiring Data Scientist to provide technical leadership for our expanding team.
What do we attribute our award-winning success to? The people we hire, of course! We provide you the tools and leadership that you need to be successful, enable you to make decisions, and we trust your judgment. This type of ownership and independence, and an ongoing commitment to solving real business problems through the innovative use of Microsoft technologies, has resulted in Catapult being voted one of the best places to work year after year!",4.3,"Catapult Systems
4.3","Denver, CO",201 to 500 Employees,1993,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Job Description
The Data Scientist is responsible for the data analytics and processing, user interface, utilities, and data modeling to meet Alion research and development objectives for internal research and development (IR&D) projects. In this role, you will work with on a suite of warfighter simulation systems called the Navy Training Baseline (NTB) and Joint Training Tools (JTT) to enhance and develop new capabilities for futuristic products. The Data Scientist on the IR&D Software Development team provides modeling and simulation application development, live, virtual and constructive systems integration support, in-service engineering support, and data analytics to US Fleet Forces (USFF), the Number Fleets, and Joint Staff. The Software Development team is directly responsible, in this context, for developing and maintaining technical solutions and standards to provide the greatest level of training capability to the warfighter, at the lowest possible cost, at the fastest pace achievable.

Security Clearance: None",4.1,"Alion Science and Technology
4.1","Norfolk, VA",1001 to 5000 Employees,2001,Company - Private,Research & Development,Business Services,$1 to $2 billion (USD)
Data Scientist,$79K - $151K (Glassdoor est.),"Posting Date : 08/20/2018
Job Description : Retrieve, process and prepare a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and operational data. Analyze and model structured data and implement algorithms to support analysis using advanced statistical and mathematical methods from statistics, machine learning, data mining, econometrics, and operations research. Perform Statistical Natural Language Processing to mine unstructured data, using methods such as document clustering, topic analysis, named entity recognition, document classification, and sentiment analysis. Utilize a diverse array of technologies and tools as needed, to deliver insights, such as R, SAS, Python, Spark, Hadoop, Qlikview, and Tableau
Educational Qualification: Bachelor’s degree with a minimum of two years’ experience, Master’s, or PhD in Computer Science, Statistics, Mathematics, Engineering, Econometrics, or related fields",-1.0,aThingz,"Southfield, MI",1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"The professionals at the National Security Agency (NSA) have one common goal: to protect our nation. The mission requires a strong offense and a steadfast defense. The offense collects, processes, and disseminates intelligence information derived from foreign signals for intelligence and counterintelligence purposes. The defense prevents adversaries from gaining access to sensitive classified national security information.NSA is the nation's leader in providing foreign signals intelligence while also protecting U.S. government information systems, forging the frontier of communications, and data analysis. We serve the American people by applying technical skills to meaningful work, keeping our friends and families safe for generations to come. You will make a lasting impact serving your country as a Data Scientist at the National Security Agency, using your curiosity to analyze large data sets to inform decision-making against foreign threats.We are looking for critical thinkers, problem solvers, and motivated individuals who are enthusiastic about data and believe that answers to hard questions lie in the yet-to-be-told story of diverse, complicated data sets. You will employ your mathematical science, computer science, and quantitative analysis skills to ensure solutions to complex data problems and take full advantage of the NSA's software and hardware capabilities in all areas of our enterprise, including analytic capabilities, research, and foreign intelligence operations.Data Scientists are hired into positions directly supporting a technical mission office or the Data Scientist Development Program (DSDP). The NSA/CSS Data Scientist Development Program is a three-year opportunity to build your data science talent, experience the breadth of data science at NSA through six- to nine-month assignments in a variety of diverse organizations, and collaborate with NSA's experts in the field of data science. You will have opportunities to attend technical conferences with experts from industry and academia. You will routinely discuss and share NSA's challenges and successes at weekly technical roundtables. We foster an environment where you will develop your data science skills, allowing you to quickly contribute to NSA's mission.As a member of a technical mission office or the DSDP, Data Scientists tackle challenging real-world problems leveraging big data, high-performance computing, machine learning, and a breadth of other methodologies.As a Data Scientist at NSA, responsibilities may include:- Collecting and combining data from multiple sources- Uncovering and exploring anomalous data (including metadata)- Applying the scientific process to data evaluation, performing statistical inference, and data mining- Developing analytic plans, engineer supporting algorithms, and design and implement solutions which execute analytic plans.- Designing and developing tools and techniques for analysis- Analyzing data using mathematical/statistical methods- Evaluating, documenting, and communicating research processes, analyses, and results to customers, peers, and leadership- Creating interpretable visualizations",3.7,"National Security Agency
3.7","Fort Meade, MD",Unknown,-1,Government,Federal Agencies,Government,Unknown / Non-Applicable
Data Scientist,$79K - $151K (Glassdoor est.),"We're redefining what's possible in public education. We set out to tackle this education crisis with a groundbreaking school design that delivers a rigorous, whole-child education to students from all backgrounds. Today, as the fastest growing, highest-performing charter school network in New York, our network of 47 K-12 schools outperforms every district in the state, proving irrefutably that all children are capable of excellence.
Job Description
The Technology Division at Success Academy is the chief provider of technology infrastructure, application services, security, and support. The Division partners with teams across the organization to equip students, teachers, leaders, and staff with the innovative technology tools and know-how necessary to achieve academic and operational excellence.
The Enterprise Data and Analytics department’s purpose is to build a healthy data and technology culture. By focusing on the concrete educational outcomes we are trying to accomplish in our schools, the team develops technical and organizational systems that are user-friendly, scalable, and flexible. The department is responsible for all reporting, analytics, data infrastructure, training, and evangelization.



Apply Now",2.8,"Success Academy Charter Schools
2.8","New York, NY",1001 to 5000 Employees,2006,School / School District,K-12 Education,Education,$100 to $500 million (USD)
